Base,Unique_ID,Cat,latitude_new,longitude_new,Place,Domain
Sumburgh,Sumb6559171,Rescue/Recovery,61.1033333333333,1.07333333333333,Cormorant Alpha,Maritime
Caernarfon,Caer6580171,Support,51.886015,-5.3072415,Whitesands Bay,Coastal
Humberside,Humb6587171,Rescue/Recovery,53.39779,-1.9037115,Kinder Scout ,Land
Prestwick,Pres6613171,Rescue/Recovery,56.331152,-4.6185738,Beinn A Chroin,Land
Inverness,Inve6614171,Rescue/Recovery,56.800758,-5.0345747,Ben Nevis,Land
Newquay,Newq6617171,Search only,50.04,-5.63666666666667,Porthcurno,Maritime
Lydd,Lydd6645171,Search only,51.45365,0.81529027,Shoeburyness East Beach,Coastal
Lee on Solent,Lee 6648171,Pre-arranged Transfer,50.711125,-1.2988755,Isle of Wight,Land
Prestwick,Pres6666171,Search only,54.575,-5.93083333333333,Belfast,Land
Inverness,Inve6713171,Rescue/Recovery,57.4231666666667,-5.25,"Lurg Mhor, Scotland",Land
St Athan,St A6733171,Search only,51.799501,-2.445147,Arlingham,Land
Caernarfon,Caer6737171,Rescue/Recovery,52.586561,-4.088587,Tywyn,Land
Newquay,Newq6753171,Rescue/Recovery,51.16483,-4.6659543,Lundy Island,Land
Stornoway,Stor6762171,Rescue/Recovery,57.8333333333333,-8.05,70nm  WSW of Stornoway,Maritime
Inverness,Inve6770171,Support,56.462968,-2.9541999,Dundee docks,Coastal
Inverness,Inve6775171,Rescue/Recovery,56.805099,-5.003795,Ben Nevis,Land
Caernarfon,Caer6782171,Rescue/Recovery,53.330636,-3.8379289,"Great Orme, Llandudno",Land
Prestwick,Pres6784171,Pre-arranged Transfer,56.515513,-5.9126421,Isle of Mull to Royal Alexandra Paisley,Land
Caernarfon,Caer6790171,Rescue/Recovery,52.852372,-4.0033043,Snowdon,Land
Newquay,Newq6807171,Rescue/Recovery,50.547397,-4.9796494,"Trevone Bay, Cornwall",Coastal
Prestwick,Pres6811171,Pre-arranged Transfer,56.849041,-5.0450465,"Fort William, Scotland",Land
Sumburgh,Sumb6812171,Rescue/Recovery,60.9083333333333,-2.16333333333333,"FV ALISON KAY, 70 nm NNW Sumburgh",Maritime
Humberside,Humb6813171,Rescue/Recovery,54.893463,-1.3622953,"Hendon, Nr. Sunderland",Coastal
St Athan,St A6835171,Pre-arranged Transfer,52.403546,-4.0652278,"Bronglais Hospital, Aberystwyth, Wales",Land
Caernarfon,Caer6843171,Rescue/Recovery,53.8333333333333,-3.88333333333333,"Accomodation Platform, 18 NM West of Blackpool.",Maritime
Lee on Solent,Lee 6848171,Search only,50.735242,-1.668363,Barton on Sea,Coastal
Newquay,Newq6860171,Support,50.402114,-3.5139878,Goodrington,Coastal
Newquay,Newq6862171,Pre-arranged Transfer,49.912498,-6.291765,"St Marys, IOS to Treliske",Land
Stornoway,Stor6875171,Rescue/Recovery,57.55563,-6.22611,"Loch Cuithir, Isle of Skye",Land
Newquay,Newq6879171,Search only,50.410538,-5.1216725,Fistral beach ,Coastal
St Athan,St A6882171,Support,52.2073333333333,-4.32366666666667,"New Quay, Wales",Coastal
Sumburgh,Sumb6906171,Rescue/Recovery,61.035,1.705,"Brent Alpha, 053 Sumburgh 113NM",Maritime
Lee on Solent,Lee NA171,Search only,50.735242,-1.668363,Barton on sea,Coastal
Prestwick,Pres6918171,Rescue/Recovery,54.454098,-3.2122852,Scafell Pike,Land
Lee on Solent,Lee 6922171,Rescue/Recovery,50.5821666666667,-1.06183333333333,Oil Tanker Alfa Italia,Maritime
Inverness,Inve6950171,Rescue/Recovery,57.798884,-3.8439383,Balintore,Coastal
Lydd,Lydd6975171,Rescue/Recovery,50.765305,0.29439376,Eastbourne Pier,Coastal
Sumburgh,Sumb6978171,Rescue/Recovery,60.327256,-1.6668376,Papa Stour,Land
Humberside,Humb6985171,Rescue/Recovery,54.4873333333333,-0.619333333333333,"Whitby, North Yorkshire",Coastal
St Athan,St A6986171,Rescue/Recovery,51.2333333333333,-3.85283333333333,"Lynton, North Devon",Coastal
Newquay,Newq6988171,Pre-arranged Transfer,49.9063333333333,-6.27366666666667,St Marys IOS - Treliske,Land
Sumburgh,Sumb7020171,Rescue/Recovery,61.7333333333333,1.155,North Sea,Maritime
Inverness,Inve7027171,Search only,57.5933333333333,-1.76166666666667,10nm North of Peterhead,Maritime
Newquay,Newq7038171,Rescue/Recovery,50.216471,-3.7926494,"Starehole Bay, Salcombe",Coastal
Caernarfon,Caer7052171,Rescue/Recovery,53.25234,-4.6126107,Rhoscolyn,Coastal
Newquay,Newq7063171,Pre-arranged Transfer,49.912498,-6.291765,IoS,Land
Newquay,Newq7100171,Rescue/Recovery,49.9616666666667,-3.91933333333333,Stenna Horizon,Maritime
St Athan,St A7118171,Support,51.5858333333333,-4.67166666666667,8nm South Tenby,Maritime
Prestwick,Pres7132171,Rescue/Recovery,56.213799,-4.8057287,Cobbler,Land
Inverness,Inve7133171,Rescue/Recovery,57.027449,-2.4068696,Banchory,Land
Caernarfon,Caer7137171,Rescue/Recovery,53.325235,-3.7791359,Little Orme,Coastal
St Athan,St A7155171,Rescue/Recovery,51.60161,-3.8394612,Port Talbot,Coastal
Prestwick,Pres7168171,Rescue/Recovery,54.65043,-3.5684073,"Workington, Lancashire",Aero
St Athan,St A7170171,Rescue/Recovery,51.39431,-3.4933362,"Llantwit Major, South Wales ",Coastal
